City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
172,kavieng,-2.5744,150.7967,81.52,71,82,13.24,PG,1668533475
173,alpena,45.0617,-83.4327,35.92,86,100,8.05,US,1668533475
174,aykhal,66.0,111.5,-23.24,99,99,6.73,RU,1668533476
175,isangel,-19.55,169.2667,72.93,76,0,2.39,VU,1668533476
176,garissa,-0.4536,39.6401,82.6,65,63,14.81,KE,1668533477
177,acajutla,13.5928,-89.8275,86.07,61,96,5.84,SV,1668533477
178,cervo,43.6702,-7.4101,55.96,71,51,18.79,ES,1668533478
179,cap malheureux,-19.9842,57.6142,70.47,66,24,4.0,MU,1668533479
180,bengkulu,-3.8004,102.2655,75.54,87,100,8.81,ID,1668533479
181,gigmoto,13.7796,124.39,80.22,87,63,12.03,PH,1668533480
182,butaritari,3.0707,172.7902,80.02,82,86,16.53,KI,1668533481
183,sibu,2.3,111.8167,73.36,99,100,0.81,MY,1668533406
184,akyab,20.15,92.9,73.29,82,19,9.1,MM,1668533481
185,axim,4.8699,-2.2405,79.63,79,43,7.14,GH,1668533482
186,sorland,67.667,12.6934,42.66,61,8,12.03,NO,1668533483
187,barra do garcas,-15.89,-52.2567,95.58,38,40,6.91,BR,1668533483
188,bitung,1.4451,125.1824,76.05,81,100,4.32,ID,1668533484
189,la tuque,47.4334,-72.7824,28.65,64,85,3.44,CA,1668533454
190,lebu,-37.6167,-73.65,63.19,71,6,8.68,CL,1668533484
191,bajil,15.0584,43.2851,81.5,58,1,7.65,YE,1668533485
192,izhma,65.0083,53.9113,-14.76,100,17,1.97,RU,1668533485
193,kavaratti,10.5669,72.642,81.93,72,93,5.79,IN,1668533486
194,cherskiy,68.75,161.3,-22.83,98,41,8.16,RU,1668533486
195,bombay,19.0144,72.8479,82.38,65,72,0.0,IN,1668533326
196,shingu,33.7333,135.9833,52.05,69,1,7.29,JP,1668533487
197,chokurdakh,70.6333,147.9167,-33.88,100,62,2.04,RU,1668533487
198,escanaba,45.7453,-87.0646,35.51,93,100,3.0,US,1668533487
199,fairbanks,64.8378,-147.7164,15.76,82,100,0.0,US,1668533482
200,esperance,-33.8667,121.9,53.98,77,0,15.32,AU,1668533253
201,carutapera,-1.195,-46.02,85.95,57,56,11.23,BR,1668533488
202,waitati,-45.75,170.5667,56.8,97,100,3.4,NZ,1668533488
203,otane,-39.8833,176.6333,61.02,90,27,1.3,NZ,1668533489
204,kirando,-7.4167,30.6,75.38,79,76,5.82,TZ,1668533489
205,hvide sande,56.0045,8.1294,50.77,86,100,26.31,DK,1668533490
206,huarmey,-10.0681,-78.1522,70.02,72,21,10.38,PE,1668533490
207,souillac,-20.5167,57.5167,71.98,64,40,6.91,MU,1668533490
208,port blair,11.6667,92.75,77.04,88,75,2.3,IN,1668533491
209,amahai,-3.3333,128.9167,79.72,81,94,2.91,ID,1668533491
210,uden,51.6568,5.6126,55.02,83,100,8.05,NL,1668533492
211,hovd,48.0056,91.6419,31.19,41,18,12.73,MN,1668533492
212,taltal,-25.4,-70.4833,64.56,74,61,3.58,CL,1668533493
213,shenkursk,62.1091,42.896,23.13,68,99,3.11,RU,1668533493
214,padang,-0.9492,100.3543,75.78,86,99,4.72,ID,1668533493
215,celestun,20.8667,-90.4,84.29,54,6,6.06,MX,1668533494
216,beloha,-25.1667,45.05,74.86,77,100,1.52,MG,1668533494
217,veinticinco de mayo,-35.4323,-60.1727,84.97,35,0,8.01,AR,1668533494
218,qasigiannguit,68.8193,-51.1922,25.05,94,92,5.26,GL,1668533495
219,san patricio,28.017,-97.5169,57.06,49,57,15.19,US,1668533495
220,ancud,-41.8697,-73.8203,54.75,98,100,17.11,CL,1668533333
221,kuching,1.55,110.3333,77.13,100,40,3.44,MY,1668533496
222,jalapa,19.5333,-96.9167,71.58,62,14,4.47,MX,1668533251
223,matadi,-5.8167,13.45,83.89,55,42,9.28,CD,1668533216
224,umm kaddadah,13.6017,26.6876,75.22,19,4,11.81,SD,1668533497
225,clarence town,-32.5833,151.7833,61.99,67,94,5.26,AU,1668533497
226,hualmay,-11.0964,-77.6139,69.6,70,29,10.16,PE,1668533497
227,mamallapuram,12.6264,80.1722,78.85,76,0,9.13,IN,1668533496
228,dikson,73.5069,80.5464,-8.66,99,14,6.11,RU,1668533498
229,anloga,5.7947,0.8973,82.58,72,66,11.25,GH,1668533498
230,dingle,10.9995,122.6711,75.74,93,65,6.98,PH,1668533499
231,walvis bay,-22.9575,14.5053,62.1,75,11,20.85,NA,1668533499
232,tabas,33.5959,56.9244,57.42,30,2,2.3,IR,1668533499
233,labuhan,-6.8844,112.2051,80.6,81,100,6.42,ID,1668533500
234,fort nelson,58.8053,-122.7002,29.95,86,75,3.44,CA,1668533419
235,namibe,-15.1961,12.1522,68.18,77,72,11.05,AO,1668533500
236,gunnedah,-30.9833,150.25,54.86,68,53,4.34,AU,1668533501
237,olafsvik,64.8945,-23.7142,42.91,90,100,15.86,IS,1668533330
238,high level,58.5169,-117.136,33.91,86,40,13.8,CA,1668533403
239,awbari,26.5921,12.7805,65.91,30,83,6.76,LY,1668533502
240,nouadhibou,20.931,-17.0347,80.58,44,0,12.66,MR,1668533502
241,bogatoye,53.0601,51.3325,22.06,83,83,9.4,RU,1668533502
242,bardstown,37.8092,-85.4669,43.63,81,100,5.75,US,1668533503
243,nishihara,26.1842,127.7558,70.88,83,100,8.05,JP,1668533503
244,ngozi,-2.9075,29.8306,58.71,95,94,1.21,BI,1668533504
245,lorengau,-2.0226,147.2712,79.61,80,97,2.04,PG,1668533504
246,nisia floresta,-6.0911,-35.2086,86.81,58,81,11.86,BR,1668533505
247,henties bay,-22.116,14.2845,61.41,86,4,12.46,NA,1668533506
